label,confused_binary,confused_text
63f7aeca74d23111b47e185b,0.0,
6400d916e410c86255a45836,0.0,
601b9077694f034f0092dd8f,0.0,
62851102d56842a48361f9d4,0.0,
5ca95e5fb98ee20017d6eeb7,0.0,
63d672fd60ac772cd04cc33b,0.0,
561699cb5c62cf000f822c3e,0.0,
64d508c361f9463e963b1348,0.0,
6319fe94b95ac2abc796fbe7,0.0,
6168ee6e69b0847dcc55d030,0.0,
5df4ed2eae7b303760a9d47c,0.0,
5ea1ee658a9acd0eff894ae2,0.0,
63f78b48ccb76ade888c9891,0.0,
5df81cd72713055bdf02efd8,0.0,
5658d6d67d69570012dfe258,0.0,
60fdd254a027bbf8cee60bf0,0.0,
63e63a16d7a7a9ceb751d456,0.0,
63dac3039dddeaa909a790fb,0.0,
610008383c0a128712403745,0.0,
